year,file,cluster,value
1996,96061302SS.txt,organizations,University of Pittsburgh Medical Centre
1996,96062319SN.txt,organizations,University of New York Health Science Centre
1996,96070307DN.txt,organizations,Nairobi University
1996,96070911DN.txt,organizations,University of British Columbia
1996,96071011DN.txt,organizations,University of Utrecht
1996,96071211DN.txt,organizations,University of California
1996,96071211DN.txt,organizations,University of Zambia's School of Medicine
1996,96071311DN.txt,organizations,University of Utah
1996,96071311DN.txt,organizations,University of Maryland-Baltimore County
1996,96071721DN.txt,organizations,Columbia University
1996,96091905SS.txt,organizations,John Moores University
1996,96091905SS.txt,organizations,Leeuven University
1996,96101029DN.txt,organizations,University of Nairobi
1996,96103132DN.txt,organizations,San Carlos University Hospital
1996,96110519DN.txt,organizations,University of Dar-es-Salaam
1996,96121306FM.txt,organizations,University of Nairobi
1997,97012409DN.txt,organizations,Pretoria University
1997,97020215SN.txt,organizations,University of Pretoria
1997,97022009DN.txt,organizations,University of Pretoria
1997,97022009DN.txt,organizations,Stellenbosch University's Faculty of Medicine
1997,97022702SS.txt,organizations,Makerere University
1997,97022809DN.txt,organizations,Pretoria University
1997,97022809DN.txt,organizations,Pretoria University's Ethics and Research Protocol Committee
1997,97040606LS.txt,organizations,State University of New York Health Science Centre
1997,97073106SS.txt,organizations,Harvard 1992 University
1997,97091844DN.txt,organizations,Johns Hopkins University
1997,97100205SS.txt,organizations,University of California
1997,97101703DN.txt,organizations,University of Nairobi
1997,97101804DN.txt,organizations,University of California
1997,97102713SN.txt,organizations,Harvard University
1997,97102713SN.txt,organizations,Johns Hopkins University
1997,97102713SN.txt,organizations,University of Maryland
1998,98020805LS.txt,organizations,University of Nairobi
1998,98030309DN.txt,organizations,Pretoria University
1998,98033025DN.txt,organizations,University of Nairobi
1998,98043025DN.txt,organizations,University of Nairobi
1998,98070211DN.txt,organizations,University of Munich
1998,98070211DN.txt,organizations,Brown University
1998,98070211DN.txt,organizations,Johns Hopkins University
1998,98070411DN.txt,organizations,Harvard University
1998,98070411DN.txt,organizations,University of Maryland
1998,98101624DN.txt,organizations,University of Nairobi
1998,98102804DN.txt,organizations,University of Nairobi
1998,98103005DN.txt,organizations,Moi University
1998,98110104SN.txt,organizations,Pretoria University
1998,98111822DN.txt,organizations,Moi University
1998,98112602HZ.txt,organizations,University of Nairobi
1998,98112603HZ.txt,organizations,University of Nairobi
1998,98120619SN.txt,organizations,John Hopkins University
1998,98121204DN.txt,organizations,University of Nairobi
1999,99012702DN.txt,organizations,University of Nairobi
1999,99020318DN.txt,organizations,University of Nairobi
